botid, date, time, press, theta, sigma, temp, csal, coxy, bsal, boxy, dic, ph, alk, phos, nit, sil, no2, 
#, mmddyy, hhmmss, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, PSS-78, umol/kg, umol/kg,  , ueq/kg, umol/kg, umol/kg, umol/kg, nmol/kg, 
0010201702, 110288, 101449, 2308.2,  1.6748, 27.714,  1.8350, 34.6465,  106.1, 34.6403,  107.4,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0010201701, 110288, 100255, 2971.9,  1.3445, 27.758,  1.5599, 34.6724,  127.2, 34.6668,  129.1,    -9.0, -9.000,    -9,  -9.00,  -9.00,  -9.00,   -9.0,
0020200211, 120288, 004616, 2603.2,  1.4935, 27.730,  1.6770, 34.6504,  110.9, 34.6514,  111.2,    -9.0, -9.000,    -9,   2.71,  38.67, 161.29,   -9.0,
0020200210, 120288, 003659, 2808.4,  1.3933, 27.744,  1.5940, 34.6591,  119.4, 34.6587,  121.6,    -9.0, -9.000,    -9,   2.65,  38.02, 161.29,   -9.0,
0020200209, 120288, 003223, 2990.6,  1.3244, 27.754,  1.5412, 34.6656,  127.1, -9.0000,  125.8,    -9.0, -9.000,    -9,   2.64,  37.58, 158.65,   -9.0,
0020200208, 120288, 002404, 3191.8,  1.2638, 27.764,  1.4991, 34.6716,  133.3, 34.6710,  134.9,    -9.0, -9.000,    -9,   2.60,  37.14, 158.94,   -9.0,
0020200207, 120288, 002008, 3390.4,  1.2169, 27.770,  1.4712, 34.6758,  139.8, 34.6756,  141.1,    -9.0, -9.000,    -9,   2.57,  36.71, 156.39,   -9.0,
0020200206, 120288, 001135, 3594.9,  1.1798, 27.776,  1.4546, 34.6801,  145.3, 34.6806,  147.6,    -9.0, -9.000,    -9,   2.54,  36.49, 154.43,   -9.0,
0020200205, 120288, 000716, 3797.6,  1.1521, 27.780,  1.4478, 34.6829,  149.3, 34.6833,  150.3,    -9.0, -9.000,    -9,   2.53,  36.16, 153.44,   -9.0,
0020200204, 120188, 235831, 3999.2,  1.1350, 27.783,  1.4525, 34.6847,  153.1, 34.6844,  152.1,    -9.0, -9.000,    -9,   2.52,  35.89, 150.31,   -9.0,
0020200203, 120188, 235414, 4200.3,  1.1214, 27.785,  1.4613, 34.6859,  155.7, 34.6861,  154.3,    -9.0, -9.000,    -9,   2.53,  35.83, 149.53,   -9.0,
0020200202, 120188, 234418, 4399.6,  1.1141, 27.786,  1.4769, 34.6865,  157.7, 34.6857,  153.9,    -9.0, -9.000,    -9,   2.52,  35.83, 150.50,   -9.0,
0020200201, 120188, 234108, 4505.0,  1.1120, 27.786,  1.4872, 34.6867,  158.0, 34.6874,  159.5,    -9.0, -9.000,    -9,   2.52,  35.72, 148.54,   -9.0,
0020200311, 120288, 045403,  695.3,  5.1299, 27.046,  5.1870, 34.2246,   43.8, 34.2244,   36.2,    -9.0, -9.000,    -9,   2.97,  39.89,  85.41,   -9.0,
0020200310, 120288, 044633,  755.2,  4.7627, 27.153,  4.8231, 34.3075,   37.2, 34.3045,   32.0,    -9.0, -9.000,    -9,   3.05,  41.08,  93.64,   -9.0,
0020200309, 120288, 044402,  839.6,  4.3694, 27.271,  4.4346, 34.4007,   39.0, 34.3989,   37.2,    -9.0, -9.000,    -9,   3.06,  41.52, 102.46,   -9.0,
0020200308, 120288, 043536,  990.0,  3.9499, 27.371,  4.0249, 34.4717,   47.0, 34.4719,   46.5,    -9.0, -9.000,    -9,   3.06,  41.51, 110.30,   -9.0,
0020200307, 120288, 043114, 1190.4,  3.4251, 27.466,  3.5125, 34.5253,   56.3, 34.5260,   55.2,    -9.0, -9.000,    -9,   3.05,  41.47, 121.10,   -9.0,
0020200306, 120288, 042238, 1391.9,  2.8717, 27.540,  2.9702, 34.5530,   64.7, 34.5539,   63.3,    -9.0, -9.000,    -9,   3.01,  41.07, 132.86,   -9.0,
0020200305, 120288, 041804, 1598.4,  2.5187, 27.589,  2.6303, 34.5761,   72.6, 34.5787,   72.5,    -9.0, -9.000,    -9,   2.97,  40.64, 142.67,   -9.0,
